         25700 function calls (25566 primitive calls) in 0.041 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:789(augmentBlossom)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:60(matching_dict_to_set)
       21    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\components\connected.py:154(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:397(NoNode)
       21    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\euler.py:69(<genexpr>)
       67    0.000    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:316(<genexpr>)
       10    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:541(scanBlossom)
     1319    0.002    0.000    0.006    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:511(slack)
        1    0.000    0.000    0.001    0.001 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\euler.py:20(is_eulerian)
       67    0.000    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:314(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:400(Blossom)
        1    0.000    0.000    0.001    0.001 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\tree\mst.py:370(minimum_spanning_edges)
      190    0.000    0.000    0.000    0.000 c:\Users\x_mat\Documents\GitHub\travelling-merchant\christofides.py:10(calcul_distance)
        1    0.000    0.000    0.002    0.002 c:\Users\x_mat\Documents\GitHub\travelling-merchant\christofides.py:16(create_complete_graph)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 13:1(argmap_kruskal_mst_edges_10)
        1    0.000    0.000    0.005    0.005 <class 'networkx.utils.decorators.argmap'> compilation 4:1(argmap_minimum_spanning_tree_1)
        1    0.000    0.000    0.001    0.001 <class 'networkx.utils.decorators.argmap'> compilation 9:1(argmap_minimum_spanning_edges_5)
        1    0.000    0.000    0.001    0.001 <class 'networkx.utils.decorators.argmap'> compilation 33:1(argmap_empty_graph_30)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 41:1(argmap_eulerian_circuit_38)
        1    0.000    0.000    0.002    0.002 <class 'networkx.utils.decorators.argmap'> compilation 29:1(argmap_from_dict_of_dicts_26)
        1    0.000    0.000    0.022    0.022 <class 'networkx.utils.decorators.argmap'> compilation 19:1(argmap_min_weight_matching_14)
        1    0.000    0.000    0.013    0.013 <class 'networkx.utils.decorators.argmap'> compilation 25:1(argmap_max_weight_matching_20)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 50:1(argmap_is_connected_46)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 37:1(argmap_empty_graph_34)
        1    0.000    0.000    0.001    0.001 <class 'networkx.utils.decorators.argmap'> compilation 45:1(argmap_is_eulerian_42)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 29:1(<module>)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 41:1(<module>)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 13:1(<module>)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 33:1(<module>)
